Number of Nodes,Operation,Hops,Average Hops
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
100000,insert,12,12.0
